City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,poum,-20.2333,164.0167,80.4,84,100,17.25,NC,1675854408
1,istok,42.7808,20.4875,28.06,60,77,5.03,XK,1675854581
2,kodra,50.5949,29.5587,26.31,66,5,3.42,UA,1675854582
3,saldanha,-33.0117,17.9442,71.22,67,13,14.5,ZA,1675854582
4,atuona,-9.8,-139.0333,77.95,78,70,16.17,PF,1675854583
5,esperance,-33.8667,121.9,65.82,83,2,11.92,AU,1675854360
6,liverpool,53.4106,-2.9779,42.62,71,100,6.93,GB,1675854583
7,san quintin,30.4833,-115.95,55.31,54,45,2.26,MX,1675854584
8,temyasovo,52.9933,58.1014,19.6,75,4,5.48,RU,1675854584
9,kapaa,22.0752,-159.319,72.88,75,58,17.02,US,1675854393
10,jamestown,42.097,-79.2353,31.33,88,100,9.6,US,1675854449
11,pereslavl-zalesskiy,56.7393,38.8563,22.42,93,99,9.75,RU,1675854585
12,caravelas,-17.7125,-39.2481,81.27,65,99,8.12,BR,1675854585
13,hobyo,5.3505,48.5268,82.71,60,1,18.95,SO,1675854586
14,luanda,-8.8368,13.2343,81.12,65,100,7.43,AO,1675854378
15,georgetown,5.4112,100.3354,81.43,77,89,2.84,MY,1675854587
16,marzuq,14.4,46.4667,87.19,16,53,9.89,YE,1675854587
17,marsabit,2.3284,37.9899,82.4,30,12,14.14,KE,1675854588
18,qiongshan,20.0058,110.3542,73.99,77,58,13.67,CN,1675854588
19,saint-philippe,-21.3585,55.7679,85.59,81,74,14.74,RE,1675854588
20,kalmunai,7.4167,81.8167,81.01,75,94,9.15,LK,1675854589
21,komsomolskiy,40.4272,71.7189,52.52,40,97,4.61,UZ,1675854589
22,mataura,-46.1927,168.8643,45.79,88,80,9.04,NZ,1675854590
23,kalispell,48.1958,-114.3129,30.79,78,61,12.3,US,1675854312
24,ushuaia,-54.8,-68.3,49.93,94,100,10.98,AR,1675854590
25,lebu,-37.6167,-73.65,57.2,89,1,12.73,CL,1675854591
26,brae,60.3964,-1.353,45.07,72,100,35.08,GB,1675854591
27,morro bay,35.3658,-120.8499,53.22,61,45,1.99,US,1675854592
28,port alfred,-33.5906,26.891,70.88,75,100,12.62,ZA,1675854592
29,albany,42.6001,-73.9662,36.7,79,100,9.19,US,1675854592
30,ati,13.2154,18.3353,88.36,11,100,13.69,TD,1675854593
31,cranbrook,49.4999,-115.7688,26.11,90,72,6.78,CA,1675854593
32,xiamen,24.4798,118.0819,60.26,81,35,14.67,CN,1675854594
33,busselton,-33.65,115.3333,69.98,66,0,18.59,AU,1675854594
34,castro,-24.7911,-50.0119,63.95,90,58,3.89,BR,1675854580
35,rikitea,-23.1203,-134.9692,78.8,75,88,11.34,PF,1675854595
36,cape town,-33.9258,18.4232,79.14,51,0,10.02,ZA,1675854381
37,grimshaw,56.1834,-117.6027,10.4,86,91,4.14,CA,1675854595
38,avarua,-21.2078,-159.775,78.71,82,86,7.81,CK,1675854395
39,gombe,10.2897,11.1673,90.0,12,60,15.84,NG,1675854596
40,tiksi,71.6872,128.8694,-39.03,98,53,6.76,RU,1675854403
41,nanortalik,60.1432,-45.2371,16.95,60,85,10.18,GL,1675854596
42,new norfolk,-42.7826,147.0587,52.41,79,63,2.19,AU,1675854597
43,mahebourg,-20.4081,57.7,86.29,66,40,9.22,MU,1675854597
